AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
AstarPath.OnPreScan	astarpath.html#OnPreScan	Called before starting the scanning. \n\nIn most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
AstarPath.Version	astarpath.html#Version	The version number for the A* Pathfinding Project.
AstarPath.active	astarpath.html#active	Returns the active AstarPath object in the scene. \n\n[more in online documentation]
AstarPath.asyncScanTask	astarpath.html#asyncScanTask	If an async scan is running, this will be set to the coroutine. \n\nThis primarily used to be able to force the async scan to complete immediately, if the AstarPath component should happen to be destroyed while an async scan is running.
AstarPath.batchGraphUpdates	astarpath.html#batchGraphUpdates	Throttle graph updates and batch them to improve performance. \n\nIf toggled, graph updates will batched and executed less often (specified by graphUpdateBatchingInterval).\n\nThis can have a positive impact on pathfinding throughput since the pathfinding threads do not need to be stopped as often, and it reduces the overhead per graph update. All graph updates are still applied, they are just batched together so that more of them are applied at the same time.\n\nDo not use this if you want minimal latency between a graph update being requested and it being applied.\n\nThis only applies to graph updates requested using the UpdateGraphs method. Not those requested using AddWorkItem.\n\nIf you want to apply graph updates immediately at some point, you can call FlushGraphUpdates.\n\n[more in online documentation]
AstarPath.colorSettings	astarpath.html#colorSettings	Reference to the color settings for this AstarPath object. \n\nColor settings include for example which color the nodes should be in, in the sceneview.
AstarPath.data	astarpath.html#data	Holds all graph data.
AstarPath.debugFloor	astarpath.html#debugFloor	Low value to use for certain debugMode modes. \n\nFor example if debugMode is set to G, this value will determine when the node will be completely red.\n\n[more in online documentation]
AstarPath.debugMode	astarpath.html#debugMode	The mode to use for drawing nodes in the sceneview. \n\n[more in online documentation]
AstarPath.debugPathData	astarpath.html#debugPathData	The path to debug using gizmos. \n\nThis is the path handler used to calculate the last path. It is used in the editor to draw debug information using gizmos.
AstarPath.debugPathID	astarpath.html#debugPathID	The path ID to debug using gizmos.
AstarPath.debugRoof	astarpath.html#debugRoof	High value to use for certain debugMode modes. \n\nFor example if debugMode is set to G, this value will determine when the node will be completely green.\n\nFor the penalty debug mode, the nodes will be colored green when they have a penalty less than debugFloor and red when their penalty is greater or equal to this value and something between red and green otherwise.\n\n[more in online documentation]
AstarPath.euclideanEmbedding	astarpath.html#euclideanEmbedding	Holds settings for heuristic optimization. \n\n[more in online documentation]\n  [more in online documentation]
AstarPath.fullGetNearestSearch	astarpath.html#fullGetNearestSearch	Do a full GetNearest search for all graphs. \n\nAdditional searches will normally only be done on the graph which in the first fast search seemed to have the closest node. With this setting on, additional searches will be done on all graphs since the first check is not always completely accurate.\n\nMore technically: GetNearestForce on all graphs will be called if true, otherwise only on the one graph which's GetNearest search returned the best node.\n\nUsually faster when disabled, but higher quality searches when enabled. \n\n[more in online documentation]
AstarPath.graphDataLock	astarpath.html#graphDataLock	Global read-write lock for graph data. \n\nGraph data is always consistent from the main-thread's perspective, but if you are using jobs to read from graph data, you may need this.\n\nA write lock is held automatically...\n- During graph updates. During async graph updates, the lock is only held once per frame while the graph update is actually running, not for the whole duration.\n\n- During work items. Async work items work similarly to graph updates, the lock is only held once per frame while the work item is actually running.\n\n- When GraphModifier events run.\n\n- When graph related callbacks, such as OnGraphsUpdated, run.\n\n- During the last step of a graph's scanning process. See ScanningStage.\n\n\nTo use e.g. AstarPath.active.GetNearest from an ECS job, you'll need to acquire a read lock first, and make sure the lock is only released when the job is finished.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]
AstarPath.graphUpdateBatchingInterval	astarpath.html#graphUpdateBatchingInterval	Minimum number of seconds between each batch of graph updates. \n\nIf batchGraphUpdates is true, this defines the minimum number of seconds between each batch of graph updates.\n\nThis can have a positive impact on pathfinding throughput since the pathfinding threads do not need to be stopped as often, and it reduces the overhead per graph update. All graph updates are still applied however, they are just batched together so that more of them are applied at the same time.\n\nDo not use this if you want minimal latency between a graph update being requested and it being applied.\n\nThis only applies to graph updates requested using the UpdateGraphs method. Not those requested using AddWorkItem.\n\n[more in online documentation]
AstarPath.graphUpdateRoutineRunning	astarpath.html#graphUpdateRoutineRunning	
AstarPath.graphUpdates	astarpath.html#graphUpdates	Processes graph updates.
AstarPath.graphUpdatesWorkItemAdded	astarpath.html#graphUpdatesWorkItemAdded	Makes sure QueueGraphUpdates will not queue multiple graph update orders.
AstarPath.graphs	astarpath.html#graphs	Shortcut to AstarData.graphs.
AstarPath.hasScannedGraphAtStartup	astarpath.html#hasScannedGraphAtStartup	
AstarPath.heuristic	astarpath.html#heuristic	The distance function to use as a heuristic. \n\nThe heuristic, often referred to as just 'H' is the estimated cost from a node to the target. Different heuristics affect how the path picks which one to follow from multiple possible with the same length \n\n[more in online documentation]
AstarPath.heuristicScale	astarpath.html#heuristicScale	The scale of the heuristic. \n\nIf a value lower than 1 is used, the pathfinder will search more nodes (slower). If 0 is used, the pathfinding algorithm will be reduced to dijkstra's algorithm. This is equivalent to setting heuristic to None. If a value larger than 1 is used the pathfinding will (usually) be faster because it expands fewer nodes, but the paths may no longer be the optimal (i.e the shortest possible paths).\n\nUsually you should leave this to the default value of 1.\n\n[more in online documentation]
AstarPath.hierarchicalGraph	astarpath.html#hierarchicalGraph	Holds a hierarchical graph to speed up some queries like if there is a path between two nodes.
AstarPath.inGameDebugPath	astarpath.html#inGameDebugPath	Debug string from the last completed path. \n\nWill be updated if logPathResults == PathLog.InGame
AstarPath.isScanning	astarpath.html#isScanning	True while any graphs are being scanned. \n\nThis is primarily relevant when scanning graph asynchronously.\n\n[more in online documentation]
AstarPath.lastGraphUpdate	astarpath.html#lastGraphUpdate	Time the last graph update was done. \n\nUsed to group together frequent graph updates to batches
AstarPath.lastScanTime	astarpath.html#lastScanTime	The time it took for the last call to Scan to complete.
AstarPath.logPathResults	astarpath.html#logPathResults	The amount of debugging messages. \n\nUse less debugging to improve performance (a bit) or just to get rid of the Console spamming. Use more debugging (heavy) if you want more information about what the pathfinding scripts are doing. The InGame option will display the latest path log using in-game GUI.\n\n <b>[image in online documentation]</b>
AstarPath.manualDebugFloorRoof	astarpath.html#manualDebugFloorRoof	If set, the debugFloor and debugRoof values will not be automatically recalculated. \n\n[more in online documentation]
AstarPath.maxFrameTime	astarpath.html#maxFrameTime	Max number of milliseconds to spend on pathfinding during each frame. \n\nAt least 500 nodes will be searched each frame (if there are that many to search). When using multithreading this value is irrelevant.
AstarPath.maxNearestNodeDistance	astarpath.html#maxNearestNodeDistance	Maximum distance to search for nodes. \n\nWhen searching for the nearest node to a point, this is the limit (in world units) for how far away it is allowed to be.\n\nThis is relevant if you try to request a path to a point that cannot be reached and it thus has to search for the closest node to that point which can be reached (which might be far away). If it cannot find a node within this distance then the path will fail.\n\n <b>[image in online documentation]</b>\n\n[more in online documentation]
AstarPath.maxNearestNodeDistanceSqr	astarpath.html#maxNearestNodeDistanceSqr	Max Nearest Node Distance Squared. \n\n[more in online documentation]
AstarPath.navmeshUpdates	astarpath.html#navmeshUpdates	Handles navmesh cuts. \n\n[more in online documentation]
AstarPath.nextFreePathID	astarpath.html#nextFreePathID	The next unused Path ID. \n\nIncremented for every call to GetNextPathID
AstarPath.nodeStorage	astarpath.html#nodeStorage	Holds global node data that cannot be stored in individual graphs.
AstarPath.offMeshLinks	astarpath.html#offMeshLinks	Holds all active off-mesh links.
AstarPath.pathProcessor	astarpath.html#pathProcessor	Holds all paths waiting to be calculated and calculates them.
AstarPath.pathReturnQueue	astarpath.html#pathReturnQueue	Holds all completed paths waiting to be returned to where they were requested.
AstarPath.prioritizeGraphs	astarpath.html#prioritizeGraphs	Prioritize graphs. \n\nGraphs will be prioritized based on their order in the inspector. The first graph which has a node closer than prioritizeGraphsLimit will be chosen instead of searching all graphs.\n\n[more in online documentation]
AstarPath.prioritizeGraphsLimit	astarpath.html#prioritizeGraphsLimit	Distance limit for prioritizeGraphs. \n\n[more in online documentation]
AstarPath.redrawScope	astarpath.html#redrawScope	
AstarPath.scanOnStartup	astarpath.html#scanOnStartup	If true, all graphs will be scanned when the game starts, during OnEnable. \n\nIf you disable this, you will have to call AstarPath.active.Scan yourself to enable pathfinding. Alternatively you could load a saved graph from a file.\n\nIf a startup cache has been generated (see Saving and Loading Graphs), it always takes priority, and the graphs will be loaded from the cache instead of scanned.\n\nThis can be useful to disable if you want to scan your graphs asynchronously, or if you have a procedural world which has not been created yet at the start of the game.\n\n[more in online documentation]
AstarPath.showGraphs	astarpath.html#showGraphs	Shows or hides graph inspectors. \n\nUsed internally by the editor
AstarPath.showNavGraphs	astarpath.html#showNavGraphs	Visualize graphs in the scene view (editor only). \n\n <b>[image in online documentation]</b>
AstarPath.showSearchTree	astarpath.html#showSearchTree	If enabled, nodes will draw a line to their 'parent'. \n\nThis will show the search tree for the latest path.\n\n[more in online documentation]
AstarPath.showUnwalkableNodes	astarpath.html#showUnwalkableNodes	Toggle to show unwalkable nodes. \n\n[more in online documentation]
AstarPath.tagNames	astarpath.html#tagNames	Stored tag names. \n\n[more in online documentation]
AstarPath.threadCount	astarpath.html#threadCount	Number of pathfinding threads to use. \n\nMultithreading puts pathfinding in another thread, this is great for performance on 2+ core computers since the framerate will barely be affected by the pathfinding at all.\n- None indicates that the pathfinding is run in the Unity thread as a coroutine\n\n- Automatic will try to adjust the number of threads to the number of cores and memory on the computer. Less than 512mb of memory or a single core computer will make it revert to using no multithreading.\n\n\nIt is recommended that you use one of the "Auto" settings that are available. The reason is that even if your computer might be beefy and have 8 cores. Other computers might only be quad core or dual core in which case they will not benefit from more than 1 or 3 threads respectively (you usually want to leave one core for the unity thread). If you use more threads than the number of cores on the computer it is mostly just wasting memory, it will not run any faster. The extra memory usage is not trivially small. Each thread needs to keep a small amount of data for each node in all the graphs. It is not the full graph data but it is proportional to the number of nodes. The automatic settings will inspect the machine it is running on and use that to determine the number of threads so that no memory is wasted.\n\nThe exception is if you only have one (or maybe two characters) active at time. Then you should probably just go with one thread always since it is very unlikely that you will need the extra throughput given by more threads. Keep in mind that more threads primarily increases throughput by calculating different paths on different threads, it will not calculate individual paths any faster.\n\n[more in online documentation]\n\n\n\n[more in online documentation]\n  [more in online documentation]
AstarPath.unwalkableNodeDebugSize	astarpath.html#unwalkableNodeDebugSize	Size of the red cubes shown in place of unwalkable nodes. \n\n[more in online documentation]
AstarPath.waitForPathDepth	astarpath.html#waitForPathDepth	
AstarPath.workItemLock	astarpath.html#workItemLock	Held if any work items are currently queued.
AstarPath.workItems	astarpath.html#workItems	Processes work items.
Pathfinding.ABPath.NNConstraintNone	abpath.html#NNConstraintNone	Cached NNConstraint.None to reduce allocations.
Pathfinding.ABPath.calculatePartial	abpath.html#calculatePartial	Calculate partial path if the target node cannot be reached. \n\nIf the target node cannot be reached, the node which was closest (given by heuristic) will be chosen as target node and a partial path will be returned. This only works if a heuristic is used (which is the default). If a partial path is found, CompleteState is set to Partial. \n\n[more in online documentation]\nThe endNode and endPoint will be modified and be set to the node which ends up being closest to the target.\n\n[more in online documentation]
Pathfinding.ABPath.cost	abpath.html#cost	Total cost of this path as used by the pathfinding algorithm. \n\nThe cost is influenced by both the length of the path, as well as any tags or penalties on the nodes. By default, the cost to move 1 world unit is Int3.Precision.\n\nIf the path failed, the cost will be set to zero.\n\n[more in online documentation]
Pathfinding.ABPath.endNode	abpath.html#endNode	End node of the path.
Pathfinding.ABPath.endPoint	abpath.html#endPoint	End point of the path. \n\nThis is the closest point on the endNode to originalEndPoint
Pathfinding.ABPath.endPointKnownBeforeCalculation	abpath.html#endPointKnownBeforeCalculation	True if this path type has a well defined end point, even before calculation starts. \n\nThis is for example true for the ABPath type, but false for the RandomPath type.
Pathfinding.ABPath.endingCondition	abpath.html#endingCondition	Optional ending condition for the path. \n\nThe ending condition determines when the path has been completed. Can be used to for example mark a path as complete when it is within a specific distance from the target.\n\nIf ending conditions are used that are not centered around the endpoint of the path, then you should also set the heuristic to None to ensure the path is still optimal. The performance impact of setting the heuristic to None is quite large, so you might want to try to run it with the default heuristic to see if the path is good enough for your use case anyway.\n\nIf null, no custom ending condition will be used. This means that the path will end when the target node has been reached.\n\n[more in online documentation]
Pathfinding.ABPath.hasEndPoint	abpath.html#hasEndPoint	Determines if a search for an end node should be done. \n\nSet by different path types. \n\n[more in online documentation]
Pathfinding.ABPath.originalEndPoint	abpath.html#originalEndPoint	End Point exactly as in the path request.
Pathfinding.ABPath.originalStartPoint	abpath.html#originalStartPoint	Start Point exactly as in the path request.
Pathfinding.ABPath.partialBestTargetGScore	abpath.html#partialBestTargetGScore	
Pathfinding.ABPath.partialBestTargetHScore	abpath.html#partialBestTargetHScore	
Pathfinding.ABPath.partialBestTargetPathNodeIndex	abpath.html#partialBestTargetPathNodeIndex	Current best target for the partial path. \n\nThis is the node with the lowest H score.
Pathfinding.ABPath.startNode	abpath.html#startNode	Start node of the path.
Pathfinding.ABPath.startPoint	abpath.html#startPoint	Start point of the path. \n\nThis is the closest point on the startNode to originalStartPoint
Pathfinding.ABPathEndingCondition.abPath	abpathendingcondition.html#abPath	Path which this ending condition is used on. \n\nSame as path but downcasted to ABPath
Pathfinding.AIBase.ShapeGizmoColor	aibase.html#ShapeGizmoColor	
Pathfinding.AIBase.accumulatedMovementDelta	aibase.html#accumulatedMovementDelta	Accumulated movement deltas from the Move method.
Pathfinding.AIBase.autoRepath	aibase.html#autoRepath	Determines how the agent recalculates its path automatically. \n\nThis corresponds to the settings under the "Recalculate Paths Automatically" field in the inspector.
Pathfinding.AIBase.canMove	aibase.html#canMove	Enables or disables movement completely. \n\nIf you want the agent to stand still, but still react to local avoidance and use gravity: use isStopped instead.\n\nThis is also useful if you want to have full control over when the movement calculations run. Take a look at MovementUpdate\n\n[more in online documentation]
Pathfinding.AIBase.canSearch	aibase.html#canSearch	Enables or disables recalculating the path at regular intervals. \n\nSetting this to false does not stop any active path requests from being calculated or stop it from continuing to follow the current path.\n\nNote that this only disables automatic path recalculations. If you call the SearchPath() method a path will still be calculated.\n\n[more in online documentation]
Pathfinding.AIBase.canSearchCompability	aibase.html#canSearchCompability	
Pathfinding.AIBase.controller	aibase.html#controller	Cached CharacterController component.
Pathfinding.AIBase.desiredVelocity	aibase.html#desiredVelocity	Velocity that this agent wants to move with. \n\nIncludes gravity and local avoidance if applicable. In world units per second.\n\n[more in online documentation]
Pathfinding.AIBase.desiredVelocityWithoutLocalAvoidance	aibase.html#desiredVelocityWithoutLocalAvoidance	Velocity that this agent wants to move with before taking local avoidance into account. \n\nIncludes gravity. In world units per second.\n\nSetting this property will set the current velocity that the agent is trying to move with, including gravity. This can be useful if you want to make the agent come to a complete stop in a single frame or if you want to modify the velocity in some way.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]\n\n\nIf you are not using local avoidance then this property will in almost all cases be identical to desiredVelocity plus some noise due to floating point math.\n\n[more in online documentation]
Pathfinding.AIBase.destination	aibase.html#destination	Position in the world that this agent should move to. \n\nIf no destination has been set yet, then (+infinity, +infinity, +infinity) will be returned.\n\nNote that setting this property does not immediately cause the agent to recalculate its path. So it may take some time before the agent starts to move towards this point. Most movement scripts have a <b>repathRate</b> field which indicates how often the agent looks for a new path. You can also call the SearchPath method to immediately start to search for a new path. Paths are calculated asynchronously so when an agent starts to search for path it may take a few frames (usually 1 or 2) until the result is available. During this time the pathPending property will return true.\n\nIf you are setting a destination and then want to know when the agent has reached that destination then you could either use reachedDestination (recommended) or check both pathPending and reachedEndOfPath. Check the documentation for the respective fields to learn about their differences.\n\n<b>[code in online documentation]</b><b>[code in online documentation]</b>
Pathfinding.AIBase.destinationBackingField	aibase.html#destinationBackingField	Backing field for destination.
Pathfinding.AIBase.enableRotation	aibase.html#enableRotation	If true, the AI will rotate to face the movement direction. \n\n[more in online documentation]
Pathfinding.AIBase.endOfPath	aibase.html#endOfPath	End point of path the agent is currently following. \n\nIf the agent has no path (or it might not be calculated yet), this will return the destination instead. If the agent has no destination it will return the agent's current position.\n\nThe end of the path is usually identical or very close to the destination, but it may differ if the path for example was blocked by a wall so that the agent couldn't get any closer.\n\nThis is only updated when the path is recalculated.
Pathfinding.AIBase.endReachedDistance	aibase.html#endReachedDistance	Distance to the end point to consider the end of path to be reached. \n\nWhen the end of the path is within this distance then IAstarAI.reachedEndOfPath will return true. When the destination is within this distance then IAstarAI.reachedDestination will return true.\n\nNote that the destination may not be reached just because the end of the path was reached. The destination may not be reachable at all.\n\n[more in online documentation]
Pathfinding.AIBase.gravity	aibase.html#gravity	Gravity to use. \n\nIf set to (NaN,NaN,NaN) then Physics.Gravity (configured in the Unity project settings) will be used. If set to (0,0,0) then no gravity will be used and no raycast to check for ground penetration will be performed.
Pathfinding.AIBase.groundMask	aibase.html#groundMask	Layer mask to use for ground placement. \n\nMake sure this does not include the layer of any colliders attached to this gameobject.\n\n[more in online documentation]
Pathfinding.AIBase.height	aibase.html#height	Height of the agent in world units. \n\nThis is visualized in the scene view as a yellow cylinder around the character.\n\nThis value is currently only used if an RVOController is attached to the same GameObject, otherwise it is only used for drawing nice gizmos in the scene view. However since the height value is used for some things, the radius field is always visible for consistency and easier visualization of the character. That said, it may be used for something in a future release.\n\n[more in online documentation]
Pathfinding.AIBase.isStopped	aibase.html#isStopped	Gets or sets if the agent should stop moving. \n\nIf this is set to true the agent will immediately start to slow down as quickly as it can to come to a full stop. The agent will still react to local avoidance and gravity (if applicable), but it will not try to move in any particular direction.\n\nThe current path of the agent will not be cleared, so when this is set to false again the agent will continue moving along the previous path.\n\nThis is a purely user-controlled parameter, so for example it is not set automatically when the agent stops moving because it has reached the target. Use reachedEndOfPath for that.\n\nIf this property is set to true while the agent is traversing an off-mesh link (RichAI script only), then the agent will continue traversing the link and stop once it has completed it.\n\n[more in online documentation]\nThe steeringTarget property will continue to indicate the point which the agent would move towards if it would not be stopped.
Pathfinding.AIBase.lastDeltaPosition	aibase.html#lastDeltaPosition	Amount which the character wants or tried to move with during the last frame.
Pathfinding.AIBase.lastDeltaTime	aibase.html#lastDeltaTime	Delta time used for movement during the last frame.
Pathfinding.AIBase.lastRaycastHit	aibase.html#lastRaycastHit	Hit info from the last raycast done for ground placement. \n\nWill not update unless gravity is used (if no gravity is used, then raycasts are disabled).\n\n[more in online documentation]
Pathfinding.AIBase.lastRepath	aibase.html#lastRepath	Time when the last path request was started.
Pathfinding.AIBase.maxSpeed	aibase.html#maxSpeed	Max speed in world units per second.
Pathfinding.AIBase.movementPlane	aibase.html#movementPlane	Plane which this agent is moving in. \n\nThis is used to convert between world space and a movement plane to make it possible to use this script in both 2D games and 3D games.
Pathfinding.AIBase.onPathComplete	aibase.html#onPathComplete	Cached delegate for the OnPathComplete method. \n\nCaching this avoids allocating a new one every time a path is calculated, which reduces GC pressure.
Pathfinding.AIBase.onSearchPath	aibase.html#onSearchPath	Called when the agent recalculates its path. \n\nThis is called both for automatic path recalculations (see canSearch) and manual ones (see SearchPath).\n\n[more in online documentation]
Pathfinding.AIBase.orientation	aibase.html#orientation	Determines which direction the agent moves in. \n\nFor 3D games you most likely want the ZAxisIsForward option as that is the convention for 3D games. For 2D games you most likely want the YAxisIsForward option as that is the convention for 2D games.\n\nUsing the YAxisForward option will also allow the agent to assume that the movement will happen in the 2D (XY) plane instead of the XZ plane if it does not know. This is important only for the point graph which does not have a well defined up direction. The other built-in graphs (e.g the grid graph) will all tell the agent which movement plane it is supposed to use.\n\n <b>[image in online documentation]</b>
Pathfinding.AIBase.position	aibase.html#position	Position of the agent. \n\nIn world space. If updatePosition is true then this value is idential to transform.position. \n\n[more in online documentation]
Pathfinding.AIBase.prevPosition1	aibase.html#prevPosition1	Position of the character at the end of the last frame.
Pathfinding.AIBase.prevPosition2	aibase.html#prevPosition2	Position of the character at the end of the frame before the last frame.
Pathfinding.AIBase.radius	aibase.html#radius	Radius of the agent in world units. \n\nThis is visualized in the scene view as a yellow cylinder around the character.\n\nNote that this does not affect pathfinding in any way. The graph used completely determines where the agent can move.\n\n[more in online documentation]
Pathfinding.AIBase.reachedDestination	aibase.html#reachedDestination	True if the ai has reached the destination. \n\nThis is a best effort calculation to see if the destination has been reached. For the AIPath/RichAI scripts, this is when the character is within AIPath.endReachedDistance world units from the destination. For the AILerp script it is when the character is at the destination (±a very small margin).\n\nThis value will be updated immediately when the destination is changed (in contrast to reachedEndOfPath), however since path requests are asynchronous it will use an approximation until it sees the real path result. What this property does is to check the distance to the end of the current path, and add to that the distance from the end of the path to the destination (i.e. is assumes it is possible to move in a straight line between the end of the current path to the destination) and then checks if that total distance is less than AIPath.endReachedDistance. This property is therefore only a best effort, but it will work well for almost all use cases.\n\nFurthermore it will not report that the destination is reached if the destination is above the head of the character or more than half the height of the character below its feet (so if you have a multilevel building, it is important that you configure the height of the character correctly).\n\nThe cases which could be problematic are if an agent is standing next to a very thin wall and the destination suddenly changes to the other side of that thin wall. During the time that it takes for the path to be calculated the agent may see itself as alredy having reached the destination because the destination only moved a very small distance (the wall was thin), even though it may actually be quite a long way around the wall to the other side.\n\nIn contrast to reachedEndOfPath, this property is immediately updated when the destination is changed.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]
Pathfinding.AIBase.repathRate	aibase.html#repathRate	Determines how often the agent will search for new paths (in seconds). \n\nThe agent will plan a new path to the target every N seconds.\n\nIf you have fast moving targets or AIs, you might want to set it to a lower value.\n\n[more in online documentation]\n\n\n\n[more in online documentation]
Pathfinding.AIBase.repathRateCompatibility	aibase.html#repathRateCompatibility	
Pathfinding.AIBase.rigid	aibase.html#rigid	Cached Rigidbody component.
Pathfinding.AIBase.rigid2D	aibase.html#rigid2D	Cached Rigidbody component.
Pathfinding.AIBase.rotation	aibase.html#rotation	Rotation of the agent. \n\nIf updateRotation is true then this value is identical to transform.rotation.
Pathfinding.AIBase.rvoController	aibase.html#rvoController	Cached RVOController component.
Pathfinding.AIBase.rvoDensityBehavior	aibase.html#rvoDensityBehavior	Controls if the agent slows down to a stop if the area around the destination is crowded. \n\nUsing this module requires that local avoidance is used: i.e. that an RVOController is attached to the GameObject.\n\n[more in online documentation]\n  [more in online documentation]
Pathfinding.AIBase.seeker	aibase.html#seeker	Cached Seeker component.
Pathfinding.AIBase.shouldRecalculatePath	aibase.html#shouldRecalculatePath	True if the path should be automatically recalculated as soon as possible.
Pathfinding.AIBase.simulatedPosition	aibase.html#simulatedPosition	Position of the agent. \n\nIf updatePosition is true then this value will be synchronized every frame with Transform.position.
Pathfinding.AIBase.simulatedRotation	aibase.html#simulatedRotation	Rotation of the agent. \n\nIf updateRotation is true then this value will be synchronized every frame with Transform.rotation.
Pathfinding.AIBase.startHasRun	aibase.html#startHasRun	True if the Start method has been executed. \n\nUsed to test if coroutines should be started in OnEnable to prevent calculating paths in the awake stage (or rather before start on frame 0).
Pathfinding.AIBase.tr	aibase.html#tr	Cached Transform component.
Pathfinding.AIBase.updatePosition	aibase.html#updatePosition	Determines if the character's position should be coupled to the Transform's position. \n\nIf false then all movement calculations will happen as usual, but the object that this component is attached to will not move instead only the position property will change.\n\nThis is useful if you want to control the movement of the character using some other means such as for example root motion but still want the AI to move freely. \n\n[more in online documentation]
Pathfinding.AIBase.updateRotation	aibase.html#updateRotation	Determines if the character's rotation should be coupled to the Transform's rotation. \n\nIf false then all movement calculations will happen as usual, but the object that this component is attached to will not rotate instead only the rotation property will change.\n\n[more in online documentation]
Pathfinding.AIBase.usingGravity	aibase.html#usingGravity	Indicates if gravity is used during this frame.
Pathfinding.AIBase.velocity	aibase.html#velocity	Actual velocity that the agent is moving with. \n\nIn world units per second.\n\n[more in online documentation]
Pathfinding.AIBase.velocity2D	aibase.html#velocity2D	Current desired velocity of the agent (does not include local avoidance and physics). \n\nLies in the movement plane.
Pathfinding.AIBase.verticalVelocity	aibase.html#verticalVelocity	Velocity due to gravity. \n\nPerpendicular to the movement plane.\n\nWhen the agent is grounded this may not accurately reflect the velocity of the agent. It may be non-zero even though the agent is not moving.
